Step,Epsilon_2,p,q,specificVoid
316,0.0316,727.415,699.814,1.9379
317,0.0317,727.683,700.668,1.93785
318,0.0318,727.951,701.518,1.9378
319,0.0319,728.216,702.364,1.93775
320,0.032,728.48,703.206,1.9377
321,0.0321,728.743,704.045,1.93765
322,0.0322,729.005,704.88,1.93761
323,0.0323,729.264,705.711,1.93756
324,0.0324,729.523,706.539,1.93751
325,0.0325,729.78,707.363,1.93746
326,0.0326,730.035,708.183,1.93741
327,0.0327,730.288,708.999,1.93737
328,0.0328,730.537,709.81,1.93732
329,0.0329,730.784,710.615,1.93727
330,0.033,731.029,711.417,1.93722
331,0.0331,731.27,712.215,1.93718
332,0.0332,731.524,713.018,1.93713
333,0.0333,731.766,713.812,1.93708
334,0.0334,732.017,714.61,1.93704
335,0.0335,732.257,715.398,1.93699
336,0.0336,732.506,716.188,1.93694
337,0.0337,732.745,716.97,1.93689
338,0.0338,732.984,717.748,1.93685
339,0.0339,733.212,718.516,1.9368
340,0.034,733.45,719.287,1.93675
341,0.0341,733.677,720.05,1.93671
342,0.0342,733.913,720.816,1.93666
343,0.0343,734.139,721.574,1.93662
344,0.0344,734.373,722.333,1.93657
345,0.0345,734.599,723.086,1.93652
346,0.0346,734.83,723.84,1.93648
347,0.0347,735.056,724.588,1.93643
348,0.0348,735.285,725.336,1.93638
349,0.0349,735.509,726.077,1.93634
350,0.035,735.727,726.811,1.93629
351,0.0351,735.946,727.544,1.93625
352,0.0352,736.162,728.272,1.9362
353,0.0353,736.379,728.999,1.93616
354,0.0354,736.596,729.724,1.93611
355,0.0355,736.813,730.447,1.93606
356,0.0356,737.03,731.167,1.93602
357,0.0357,737.247,731.887,1.93597
358,0.0358,737.465,732.605,1.93593
359,0.0359,737.686,733.323,1.93588
360,0.036,737.908,734.042,1.93584
361,0.0361,738.133,734.76,1.93579
362,0.0362,738.358,735.476,1.93575
363,0.0363,738.582,736.191,1.9357
364,0.0364,738.807,736.903,1.93566
365,0.0365,739.03,737.612,1.93561
366,0.0366,739.252,738.319,1.93557
367,0.0367,739.474,739.023,1.93552
368,0.0368,739.694,739.723,1.93548
369,0.0369,739.914,740.421,1.93543
370,0.037,740.132,741.117,1.93539
371,0.0371,740.349,741.809,1.93534
372,0.0372,740.565,742.498,1.9353
373,0.0373,740.78,743.185,1.93526
374,0.0374,740.995,743.869,1.93521
